produto,tipo,rentabilidade_prazos,publico_alvo,resgate
CDB,Renda Fixa Privada,Definida na contratação (atrelada ao CDI ou prefixada),Novos investidores e conservadores,Conforme contrato (diário ou no vencimento)
Tesouro Selic,Renda Fixa Pública,Acompanha a taxa Selic + pequena taxa,Investidores focados em segurança,Liquidez diária (D+1)
